cattle_id,sex,breed,age_months,baseline_group
CATTLE-001,Female,Beef cattle,39,Normal
CATTLE-002,Female,Beef cattle,39,Normal
CATTLE-003,Female,Beef cattle,36,Normal
CATTLE-004,Female,Beef cattle,39,Normal
CATTLE-005,Female,Beef cattle,38,Normal
CATTLE-006,Female,Beef cattle,33,Normal
CATTLE-007,Female,Beef cattle,33,Normal
CATTLE-008,Female,Beef cattle,33,Normal
CATTLE-009,Female,Beef cattle,27,Normal
CATTLE-010,Female,Beef cattle,31,Normal
CATTLE-011,Female,Beef cattle,18,Normal
CATTLE-012,Female,Beef cattle,28,Normal
CATTLE-013,Female,Beef cattle,27,Normal
CATTLE-014,Female,Beef cattle,33,Normal
CATTLE-015,Female,Beef cattle,46,Normal
CATTLE-016,Female,Beef cattle,39,Normal
CATTLE-017,Female,Beef cattle,47,Normal
CATTLE-018,Female,Beef cattle,23,Normal
CATTLE-019,Female,Beef cattle,28,Normal
CATTLE-020,Female,Beef cattle,32,Normal
CATTLE-021,Female,Beef cattle,41,Normal
CATTLE-022,Female,Beef cattle,28,Normal
CATTLE-023,Female,Beef cattle,40,Normal
CATTLE-024,Female,Beef cattle,43,Normal
CATTLE-025,Female,Beef cattle,28,Normal
CATTLE-026,Female,Beef cattle,24,Normal
CATTLE-027,Female,Beef cattle,28,Normal
CATTLE-028,Female,Beef cattle,35,Normal
CATTLE-029,Female,Beef cattle,36,Normal
CATTLE-030,Female,Beef cattle,31,Normal
CATTLE-031,Female,Beef cattle,31,Normal
CATTLE-032,Female,Beef cattle,46,Normal
