timestamp,cattle_id,day,body_temperature_c,heart_rate_bpm,respiration_rate_bpm,activity_percent,feed_intake_kg_day,water_intake_l_day,ambient_temperature_c,humidity_percent,co2_ppm,nh3_ppm,disease_risk_score,health_status,disease_alert
2026-05-16 00:00:00,CATTLE-001,1,38.649,72.276,22.308,76.936,5.892,24.274,24.723,89.032,615.147,2.53,0.024,Healthy,0
2026-05-16 01:00:00,CATTLE-001,1,38.735,79.837,25.865,73.136,5.664,25.248,24.025,83.617,552.681,2.685,0.044,Healthy,0
2026-05-16 02:00:00,CATTLE-001,1,38.665,73.895,24.967,75.471,5.564,27.091,25.202,83.022,648.707,3.16,0.072,Healthy,0
2026-05-16 03:00:00,CATTLE-001,1,38.608,75.132,24.358,68.38,5.689,25.106,26.48,84.313,787.758,2.995,0.032,Healthy,0
2026-05-16 04:00:00,CATTLE-001,1,38.725,71.437,22.883,82.682,5.888,26.137,26.716,84.663,807.583,4.136,0.048,Healthy,0
2026-05-16 05:00:00,CATTLE-001,1,38.758,74.226,25.286,87.073,6.065,30.282,26.376,82.575,783.705,3.481,0.016,Healthy,0
2026-05-16 06:00:00,CATTLE-001,1,38.853,71.35,23.302,74.709,5.953,28.041,27.681,77.817,684.875,4.728,0.027,Healthy,0
2026-05-16 07:00:00,CATTLE-001,1,38.837,73.55,23.766,83.226,6.306,27.429,28.564,77.434,835.402,4.495,0.024,Healthy,0
2026-05-16 08:00:00,CATTLE-001,1,38.812,69.173,23.737,86.354,6.308,26.025,30.769,73.124,594.612,4.639,0.016,Healthy,0
2026-05-16 09:00:00,CATTLE-001,1,38.791,69.413,22.363,85.959,6.343,28.836,31.598,72.287,634.443,3.964,0.026,Healthy,0
2026-05-16 10:00:00,CATTLE-001,1,38.93,66.181,21.714,94.71,6.253,29.981,30.571,69.807,730.389,4.462,0.051,Healthy,0
2026-05-16 11:00:00,CATTLE-001,1,38.951,72.165,23.542,91.889,6.367,29.396,32.495,67.631,685.672,4.119,0.012,Healthy,0
2026-05-16 12:00:00,CATTLE-001,1,38.862,66.361,22.015,94.965,6.633,29.324,31.929,67.256,687.233,4.127,0.05,Healthy,0
2026-05-16 13:00:00,CATTLE-001,1,38.969,71.27,21.454,94.932,6.652,28.973,33.412,69.299,606.59,3.28,0.043,Healthy,0
2026-05-16 14:00:00,CATTLE-001,1,38.927,66.611,21.743,85.192,6.536,29.865,31.171,67.421,652.961,4.421,0.036,Healthy,0
2026-05-16 15:00:00,CATTLE-001,1,38.806,71.12,22.595,95.302,6.439,31.093,31.227,69.74,573.899,2.815,0.031,Healthy,0
2026-05-16 16:00:00,CATTLE-001,1,38.842,69.507,23.044,90.886,6.188,28.825,28.625,73.896,488.296,3.73,0.046,Healthy,0
2026-05-16 17:00:00,CATTLE-001,1,38.822,71.918,25.67,85.927,6.04,28.743,28.632,73.151,503.311,3.355,0.031,Healthy,0
2026-05-16 18:00:00,CATTLE-001,1,38.853,69.98,24.308,83.47,6.099,28.17,28.698,81.199,472.46,3.484,0.052,Healthy,0
2026-05-16 19:00:00,CATTLE-001,1,38.776,69.549,22.53,80.421,5.85,26.87,27.1,84.063,593.381,2.75,0.022,Healthy,0
2026-05-16 20:00:00,CATTLE-001,1,38.677,72.072,26.566,77.827,6.019,25.277,24.819,83.072,521.205,2.574,0.066,Healthy,0
2026-05-16 21:00:00,CATTLE-001,1,38.75,75.736,24.249,72.891,5.547,25.465,27.0,87.747,614.873,2.508,0.055,Healthy,0
2026-05-16 22:00:00,CATTLE-001,1,38.769,76.693,25.695,81.781,5.553,27.842,24.702,83.975,609.066,1.728,0.019,Healthy,0
2026-05-16 23:00:00,CATTLE-001,1,38.628,71.358,25.266,62.55,5.523,27.392,23.595,85.015,731.262,2.624,0.05,Healthy,0
2026-05-17 00:00:00,CATTLE-001,2,38.718,76.31,25.2,72.489,5.861,25.924,24.397,84.603,653.511,3.967,0.002,Healthy,0
2026-05-17 01:00:00,CATTLE-001,2,38.698,75.173,25.262,70.093,5.794,26.734,25.644,83.882,807.737,3.343,0.023,Healthy,0
2026-05-17 02:00:00,CATTLE-001,2,38.728,75.186,24.486,77.908,5.891,25.288,24.471,83.862,767.121,3.967,0.003,Healthy,0
2026-05-17 03:00:00,CATTLE-001,2,38.688,72.533,25.318,75.174,6.015,25.714,24.549,81.649,804.569,4.276,0.044,Healthy,0
2026-05-17 04:00:00,CATTLE-001,2,38.873,75.152,22.543,74.95,6.137,25.351,26.059,84.562,737.661,3.452,0.042,Healthy,0
2026-05-17 05:00:00,CATTLE-001,2,38.887,71.405,25.296,82.665,6.248,26.476,27.628,77.973,765.382,2.955,0.033,Healthy,0
2026-05-17 06:00:00,CATTLE-001,2,38.743,74.301,21.499,90.034,6.04,27.293,28.447,80.618,839.261,3.968,0.02,Healthy,0
2026-05-17 07:00:00,CATTLE-001,2,38.822,67.352,22.542,83.056,6.268,27.755,28.867,79.743,812.163,4.612,0.045,Healthy,0
2026-05-17 08:00:00,CATTLE-001,2,38.809,73.901,24.634,96.265,6.25,29.024,30.129,74.163,890.469,4.669,0.008,Healthy,0
2026-05-17 09:00:00,CATTLE-001,2,38.733,64.979,23.317,92.112,6.517,29.1,31.102,71.87,653.549,5.016,0.052,Healthy,0
2026-05-17 10:00:00,CATTLE-001,2,38.897,66.296,23.053,90.412,6.447,28.875,31.591,70.675,705.583,4.325,0.0,Healthy,0
2026-05-17 11:00:00,CATTLE-001,2,38.907,71.747,22.869,90.278,6.145,27.378,30.66,69.947,677.729,4.496,0.038,Healthy,0
2026-05-17 12:00:00,CATTLE-001,2,38.906,72.813,22.581,99.941,6.475,29.951,32.348,74.624,600.326,4.055,0.045,Healthy,0
2026-05-17 13:00:00,CATTLE-001,2,38.947,67.457,22.083,83.189,6.693,29.633,31.514,67.211,602.796,4.745,0.028,Healthy,0
2026-05-17 14:00:00,CATTLE-001,2,38.945,69.438,22.626,94.827,6.347,26.932,31.191,64.559,560.797,4.426,0.03,Healthy,0
2026-05-17 15:00:00,CATTLE-001,2,38.855,66.765,23.468,92.992,6.29,30.413,30.797,75.711,478.675,3.439,0.025,Healthy,0
2026-05-17 16:00:00,CATTLE-001,2,38.739,69.387,23.262,75.77,6.251,28.09,29.393,72.573,497.147,2.962,0.038,Healthy,0
2026-05-17 17:00:00,CATTLE-001,2,38.856,69.328,22.081,96.643,6.129,27.059,29.87,78.484,496.867,2.632,0.0,Healthy,0
2026-05-17 18:00:00,CATTLE-001,2,38.721,71.484,25.772,69.901,5.949,26.393,28.681,75.036,531.717,3.277,0.027,Healthy,0
2026-05-17 19:00:00,CATTLE-001,2,38.739,72.565,25.424,84.873,6.122,26.035,27.056,76.887,494.827,2.247,0.03,Healthy,0
2026-05-17 20:00:00,CATTLE-001,2,38.712,71.338,26.368,70.636,5.575,27.489,28.149,85.044,519.647,3.325,0.03,Healthy,0
2026-05-17 21:00:00,CATTLE-001,2,38.675,72.59,24.508,70.97,5.749,23.734,25.627,82.573,550.838,2.271,0.04,Healthy,0
2026-05-17 22:00:00,CATTLE-001,2,38.652,72.735,25.876,74.562,6.159,27.618,25.281,84.673,604.239,2.671,0.044,Healthy,0
2026-05-17 23:00:00,CATTLE-001,2,38.501,73.197,25.024,64.904,5.9,24.71,24.01,84.034,558.819,2.774,0.034,Healthy,0
2026-05-18 00:00:00,CATTLE-001,3,38.647,75.981,26.771,76.042,5.614,28.231,26.727,81.167,641.087,2.589,0.003,Healthy,0
2026-05-18 01:00:00,CATTLE-001,3,38.803,73.943,25.528,69.552,5.862,25.53,23.793,86.237,686.422,3.244,0.025,Healthy,0
2026-05-18 02:00:00,CATTLE-001,3,38.684,75.992,24.942,80.029,5.67,23.768,25.404,88.033,577.514,3.422,0.046,Healthy,0
2026-05-18 03:00:00,CATTLE-001,3,38.776,75.393,25.118,70.689,5.899,26.402,24.85,78.916,735.816,3.38,0.039,Healthy,0
2026-05-18 04:00:00,CATTLE-001,3,38.807,72.989,24.108,79.203,5.723,25.731,25.55,80.799,784.486,4.382,0.053,Healthy,0
2026-05-18 05:00:00,CATTLE-001,3,38.732,71.145,23.668,84.415,6.179,28.295,27.416,79.028,815.659,4.643,0.045,Healthy,0
2026-05-18 06:00:00,CATTLE-001,3,38.801,73.147,22.874,70.561,6.127,29.941,26.694,78.843,706.497,3.951,0.027,Healthy,0
2026-05-18 07:00:00,CATTLE-001,3,38.846,71.083,22.187,78.065,6.525,27.87,28.943,81.276,801.328,4.474,0.032,Healthy,0
2026-05-18 08:00:00,CATTLE-001,3,38.798,69.515,24.478,84.27,6.423,25.727,29.678,76.343,906.245,4.728,0.027,Healthy,0
2026-05-18 09:00:00,CATTLE-001,3,38.842,66.711,22.704,89.222,6.105,29.163,30.977,76.154,685.744,3.749,0.028,Healthy,0
2026-05-18 10:00:00,CATTLE-001,3,38.82,68.349,22.645,91.636,6.276,28.746,31.895,65.537,648.968,4.724,0.018,Healthy,0
2026-05-18 11:00:00,CATTLE-001,3,38.809,71.466,19.303,81.452,6.209,27.569,31.92,69.928,690.36,5.651,0.033,Healthy,0
2026-05-18 12:00:00,CATTLE-001,3,38.948,65.39,22.009,91.836,6.532,28.025,31.732,69.236,641.007,4.471,0.029,Healthy,0
2026-05-18 13:00:00,CATTLE-001,3,38.877,69.512,21.23,90.09,6.391,29.56,31.405,68.159,575.243,4.049,0.016,Healthy,0
2026-05-18 14:00:00,CATTLE-001,3,38.83,66.648,20.64,99.668,6.174,27.78,31.219,71.83,688.784,3.255,0.05,Healthy,0
2026-05-18 15:00:00,CATTLE-001,3,38.708,65.33,22.228,94.114,6.337,28.023,29.072,74.612,480.366,4.123,0.05,Healthy,0
2026-05-18 16:00:00,CATTLE-001,3,38.749,70.03,21.238,89.944,6.631,28.765,31.474,76.017,508.706,3.032,0.023,Healthy,0
2026-05-18 17:00:00,CATTLE-001,3,38.851,70.184,24.523,86.69,5.759,27.338,29.327,80.791,628.319,2.498,0.033,Healthy,0
2026-05-18 18:00:00,CATTLE-001,3,38.883,69.364,24.632,73.416,6.469,26.993,26.853,79.743,438.559,2.394,0.031,Healthy,0
2026-05-18 19:00:00,CATTLE-001,3,38.717,68.368,25.516,77.835,6.048,27.089,27.237,81.893,442.938,2.631,0.025,Healthy,0
2026-05-18 20:00:00,CATTLE-001,3,38.774,73.98,23.388,81.832,5.602,27.692,27.83,81.858,452.6,2.334,0.01,Healthy,0
2026-05-18 21:00:00,CATTLE-001,3,38.762,76.26,26.278,72.844,5.961,24.71,25.344,86.851,572.324,2.908,0.029,Healthy,0
2026-05-18 22:00:00,CATTLE-001,3,38.782,73.73,24.684,77.957,5.539,26.5,25.624,85.33,616.798,2.427,0.014,Healthy,0
2026-05-18 23:00:00,CATTLE-001,3,38.558,72.775,26.644,76.864,5.808,24.499,25.642,84.944,627.041,2.84,0.039,Healthy,0
2026-05-19 00:00:00,CATTLE-001,4,38.654,68.843,26.547,73.754,5.442,24.039,25.071,86.141,723.39,2.451,0.022,Healthy,0
2026-05-19 01:00:00,CATTLE-001,4,38.619,69.952,23.943,67.172,5.879,25.683,25.254,84.826,632.771,2.497,0.018,Healthy,0
2026-05-19 02:00:00,CATTLE-001,4,38.593,74.069,24.621,70.529,5.891,25.376,26.817,82.937,780.026,4.052,0.023,Healthy,0
2026-05-19 03:00:00,CATTLE-001,4,38.792,74.186,24.552,71.587,5.72,28.594,25.391,82.537,664.439,3.898,0.044,Healthy,0
2026-05-19 04:00:00,CATTLE-001,4,38.777,75.193,23.672,77.708,5.605,25.29,25.578,82.494,732.171,4.051,0.043,Healthy,0
2026-05-19 05:00:00,CATTLE-001,4,38.689,64.427,23.287,85.624,6.066,28.233,26.334,77.548,765.414,4.347,0.013,Healthy,0
2026-05-19 06:00:00,CATTLE-001,4,38.855,72.236,24.43,85.759,6.185,28.155,26.688,79.388,784.401,4.36,0.045,Healthy,0
2026-05-19 07:00:00,CATTLE-001,4,38.757,69.015,24.149,86.864,6.257,27.46,30.131,73.982,794.745,4.181,0.03,Healthy,0
2026-05-19 08:00:00,CATTLE-001,4,38.892,66.838,24.987,88.252,6.318,27.646,30.404,69.532,755.402,4.511,0.038,Healthy,0
2026-05-19 09:00:00,CATTLE-001,4,38.889,68.777,22.397,87.441,6.374,26.548,30.513,75.97,648.363,4.588,0.044,Healthy,0
2026-05-19 10:00:00,CATTLE-001,4,38.867,64.233,23.523,96.245,6.092,28.19,30.647,71.455,732.026,4.203,0.012,Healthy,0
2026-05-19 11:00:00,CATTLE-001,4,38.978,67.922,21.118,91.271,6.547,27.519,31.239,72.219,740.297,4.927,0.055,Healthy,0
2026-05-19 12:00:00,CATTLE-001,4,38.895,67.804,23.584,90.469,6.536,28.769,32.218,69.38,607.348,3.873,0.034,Healthy,0
2026-05-19 13:00:00,CATTLE-001,4,38.929,66.333,22.882,98.09,6.521,27.716,31.197,72.396,662.294,4.23,0.029,Healthy,0
2026-05-19 14:00:00,CATTLE-001,4,38.824,68.679,20.734,93.668,6.284,29.592,31.331,68.8,508.504,3.601,0.026,Healthy,0
2026-05-19 15:00:00,CATTLE-001,4,38.825,71.439,21.57,91.116,6.428,28.334,30.455,71.824,523.858,4.736,0.021,Healthy,0
2026-05-19 16:00:00,CATTLE-001,4,38.876,73.728,22.141,87.373,6.221,27.961,29.539,72.79,690.199,3.23,0.027,Healthy,0
2026-05-19 17:00:00,CATTLE-001,4,38.859,69.447,23.021,86.15,6.041,29.498,28.32,76.516,470.331,3.494,0.035,Healthy,0
2026-05-19 18:00:00,CATTLE-001,4,38.797,73.399,23.706,88.771,6.167,29.48,28.315,80.044,495.232,3.337,0.024,Healthy,0
2026-05-19 19:00:00,CATTLE-001,4,38.843,78.608,24.215,74.93,6.14,25.782,27.258,76.976,502.331,2.943,0.038,Healthy,0
2026-05-19 20:00:00,CATTLE-001,4,38.805,74.73,22.456,72.676,5.639,28.549,25.848,82.635,611.54,2.479,0.028,Healthy,0
2026-05-19 21:00:00,CATTLE-001,4,38.731,74.602,23.499,81.997,5.987,26.639,26.95,78.758,530.781,2.9,0.02,Healthy,0
2026-05-19 22:00:00,CATTLE-001,4,38.692,76.244,22.561,74.7,5.584,26.318,25.228,84.054,490.971,2.509,0.036,Healthy,0
2026-05-19 23:00:00,CATTLE-001,4,38.643,70.783,25.065,62.049,5.802,25.589,24.55,88.149,544.196,3.188,0.049,Healthy,0
2026-05-20 00:00:00,CATTLE-001,5,38.749,76.998,26.9,71.737,5.81,27.096,25.019,81.824,599.697,3.053,0.025,Healthy,0
2026-05-20 01:00:00,CATTLE-001,5,38.645,73.918,24.15,71.575,5.837,25.26,24.923,84.747,648.001,3.024,0.03,Healthy,0
2026-05-20 02:00:00,CATTLE-001,5,38.556,80.37,24.197,75.541,5.623,26.643,25.08,86.286,701.985,3.784,0.034,Healthy,0
2026-05-20 03:00:00,CATTLE-001,5,38.654,73.362,27.408,79.928,5.903,25.788,25.005,86.876,725.015,3.774,0.031,Healthy,0
2026-05-20 04:00:00,CATTLE-001,5,38.663,76.397,23.767,78.667,6.101,26.295,26.408,83.348,689.323,4.093,0.035,Healthy,0
2026-05-20 05:00:00,CATTLE-001,5,38.698,74.388,25.015,83.203,6.118,28.199,28.242,81.764,787.244,3.158,0.026,Healthy,0
2026-05-20 06:00:00,CATTLE-001,5,38.727,74.724,22.08,80.667,5.862,26.697,28.096,74.914,693.319,3.385,0.033,Healthy,0
2026-05-20 07:00:00,CATTLE-001,5,38.767,70.662,24.906,82.501,6.182,26.529,28.346,79.198,857.95,3.241,0.007,Healthy,0
2026-05-20 08:00:00,CATTLE-001,5,38.887,71.075,22.89,89.145,6.236,28.601,30.906,68.528,893.64,4.829,0.029,Healthy,0
2026-05-20 09:00:00,CATTLE-001,5,38.817,64.981,23.359,96.828,6.481,27.755,29.715,69.731,675.796,4.985,0.006,Healthy,0
2026-05-20 10:00:00,CATTLE-001,5,39.005,69.2,22.837,86.158,6.649,28.521,30.924,70.594,651.848,4.741,0.021,Healthy,0
2026-05-20 11:00:00,CATTLE-001,5,38.913,67.786,22.976,94.342,6.199,29.896,31.432,71.688,689.411,4.969,0.025,Healthy,0
2026-05-20 12:00:00,CATTLE-001,5,38.946,67.076,24.627,88.043,6.488,28.016,31.28,72.254,694.83,3.857,0.063,Healthy,0
2026-05-20 13:00:00,CATTLE-001,5,38.918,71.105,24.442,84.159,6.481,30.206,30.39,71.846,574.847,3.823,0.005,Healthy,0
2026-05-20 14:00:00,CATTLE-001,5,38.776,64.502,23.816,96.365,6.452,28.062,31.283,71.066,614.873,3.373,0.006,Healthy,0
2026-05-20 15:00:00,CATTLE-001,5,38.846,67.517,22.923,86.146,6.468,29.389,30.926,69.041,522.469,3.207,0.032,Healthy,0
2026-05-20 16:00:00,CATTLE-001,5,38.888,74.091,22.88,95.818,6.287,27.367,30.12,80.354,475.721,2.624,0.015,Healthy,0
2026-05-20 17:00:00,CATTLE-001,5,38.794,73.423,22.097,82.103,5.932,27.759,29.409,73.185,538.966,3.792,0.042,Healthy,0
2026-05-20 18:00:00,CATTLE-001,5,38.752,72.104,24.548,85.096,5.902,26.408,28.06,81.681,485.049,2.906,0.019,Healthy,0
2026-05-20 19:00:00,CATTLE-001,5,38.651,76.828,22.974,83.778,6.01,27.161,26.903,80.332,576.574,2.21,0.03,Healthy,0
2026-05-20 20:00:00,CATTLE-001,5,38.779,74.128,24.085,76.002,5.706,26.195,25.942,83.392,519.762,3.117,0.014,Healthy,0
2026-05-20 21:00:00,CATTLE-001,5,38.733,78.853,24.644,71.861,5.942,23.711,26.576,83.808,575.377,2.387,0.031,Healthy,0
2026-05-20 22:00:00,CATTLE-001,5,38.577,72.484,21.776,74.99,5.843,25.205,24.672,81.951,620.465,2.561,0.038,Healthy,0
2026-05-20 23:00:00,CATTLE-001,5,38.688,72.966,24.899,70.689,5.629,26.151,23.593,82.828,643.973,2.29,0.021,Healthy,0
2026-05-21 00:00:00,CATTLE-001,6,38.724,79.344,24.19,71.139,5.721,26.787,24.513,83.814,557.942,3.249,0.022,Healthy,0
2026-05-21 01:00:00,CATTLE-001,6,38.746,74.141,25.183,70.567,5.754,26.712,23.682,89.351,662.059,3.439,0.018,Healthy,0
2026-05-21 02:00:00,CATTLE-001,6,38.566,78.44,23.81,73.324,6.002,25.136,25.056,81.572,650.354,3.226,0.0,Healthy,0
2026-05-21 03:00:00,CATTLE-001,6,38.733,75.943,23.659,67.117,5.774,26.149,25.169,81.032,598.27,3.642,0.044,Healthy,0
2026-05-21 04:00:00,CATTLE-001,6,38.695,73.179,23.264,77.498,5.936,28.27,27.378,85.643,770.516,4.159,0.027,Healthy,0
2026-05-21 05:00:00,CATTLE-001,6,38.854,69.927,22.738,82.997,6.212,26.458,27.166,80.781,738.622,3.599,0.023,Healthy,0
2026-05-21 06:00:00,CATTLE-001,6,38.832,74.193,22.44,79.672,6.145,26.372,28.226,75.876,723.097,4.647,0.04,Healthy,0
2026-05-21 07:00:00,CATTLE-001,6,38.941,72.173,24.267,80.504,6.25,28.243,29.886,74.179,768.227,5.094,0.027,Healthy,0
2026-05-21 08:00:00,CATTLE-001,6,38.88,70.134,22.612,85.527,6.308,27.883,29.274,70.156,649.659,3.492,0.01,Healthy,0
2026-05-21 09:00:00,CATTLE-001,6,38.803,71.858,22.714,93.698,6.474,27.319,31.205,73.256,750.807,4.919,0.038,Healthy,0
2026-05-21 10:00:00,CATTLE-001,6,38.933,69.982,22.681,83.385,6.487,29.32,31.292,71.163,704.338,4.423,0.065,Healthy,0
2026-05-21 11:00:00,CATTLE-001,6,38.93,69.134,23.574,88.732,6.519,28.496,32.241,64.575,685.764,5.272,0.03,Healthy,0
2026-05-21 12:00:00,CATTLE-001,6,38.908,65.228,23.307,99.417,6.352,27.687,32.163,67.22,727.279,3.996,0.034,Healthy,0
2026-05-21 13:00:00,CATTLE-001,6,38.829,66.613,19.981,94.789,6.494,27.048,32.545,65.923,552.563,3.773,0.052,Healthy,0
